,STATION,LATITUDE,LONGITUDE
554,TERESOPOLIS-PARQUE NACIONAL,-22.4486111,-42.98694444
555,PORTO MURTINHO,-21.70585,-57.886546
556,QUARAI,-30.368578,-56.437115
557,TAUBATE,-23.04166666,-45.52083332
558,SAO MIGUEL ARCANJO,-23.85194444,-48.16472222
559,CARAVELAS,-17.73944444,-39.25861111
560,SAO LUIS DO QUITUNDE,-9.28749999,-35.56583333
561,VITORIA DA CONQUISTA,-14.8861111,-40.80138888
562,ITAPIRA,-22.415,-46.80527777
563,GAMA (PONTE ALTA),-15.93527777,-48.13749999
564,ITIQUIRA,-17.17499999,-54.50166666
565,PATROCINIO,-18.99638888,-46.98583333
566,OLIVEIRA,-20.71472222,-44.86444444
567,VICOSA,-20.762607,-42.864013
568,ITUMBIARA,-18.40972222,-49.19194444
569,PARAGOMINAS,-2.9911111,-47.35638888
570,ARAGUACU,-12.59222221,-49.5286111
571,SAO GABRIEL DO OESTE,-19.42027777,-54.55305555
572,RIBEIRA DO AMPARO,-11.05861111,-38.44416666
573,TURIACU,-1.661224,-45.372571
574,BOM JESUS DO PIAUI,-9.083251,-44.32647
575,JOAO PINHEIRO,-17.78472221,-46.11916666
576,SELVIRIA,-20.351444,-51.430222
577,CORRENTE,-10.42916666,-45.17305554
578,MARACAJU,-21.60916666,-55.17777777
579,CAMPO NOVO DOS PARECIS,-13.78583333,-57.8386111
580,PASSOS,-20.745237,-46.633916
581,CRUZEIRO DO SUL,-7.610773,-72.681333
582,SAO RAIMUNDO NONATO,-9.03305554,-42.70111111
583,PICO DO COUTO,-22.46472222,-43.29138888
584,DIAMANTE DO NORTE,-22.63388888,-52.85888888
585,JUTI,-22.85722222,-54.60555555
586,UBERLANDIA,-18.91722221,-48.25555555
587,FORTALEZA,-3.81583333,-38.53777777
588,RIO DO CAMPO,-26.93749999,-50.14638888
589,SANTO ANTONIO DO LESTE,-14.92777777,-53.8836111
590,GOVERNADOR VALADARES,-18.83027777,-41.97666666
591,OURO BRANCO,-20.556592,-43.75622
592,CACOAL,-11.44583333,-61.43416666
593,PONTES E LACERDA,-15.25111111,-59.34666666
594,LENCOIS,-12.55777777,-41.38888888
595,IPORA,-16.423059,-51.148801
596,VALENCA,-22.35805555,-43.69555555
597,ALFREDO CHAVES,-20.63638888,-40.74138888
598,SAO FELIX DO XINGU,-6.639622,-51.956966
599,JOSE BONIFACIO,-21.085675,-49.920388
600,SANTA RITA DO PARDO,-21.30583333,-52.82027777
601,SAO GABRIEL DO OESTE,-19.42032,-54.553088
602,RIO PARDO,-29.87333332,-52.38249999
603,PARATI,-23.2236111,-44.72694443
604,PILAO ARCADO,-10.018333,-42.500278
605,BARBALHA,-7.31805554,-39.30166666
606,PEF YAUARETE,0.59944444,-69.19194444
607,ALEGRETE,-29.71166666,-55.5261111
608,MORRETES,-25.51277777,-48.80861111
609,COLINAS,-6.03333333,-44.23333333
610,REDENCAO,-8.04333333,-50.00694444
611,CHAPADA GAUCHA,-15.300159,-45.617431
612,ARAL MOREIRA,-22.955,-55.6261111
613,MURIAE,-21.104867,-42.375904
614,GAUCHA DO NORTE,-13.184857,-53.257366
615,POMPEU,-19.23249999,-44.96416666
616,VENTANIA,-24.23833333,-50.24555555
617,SANTANA DO ARAGUAIA,-9.338611,-50.35028
618,AVARE,-23.10166666,-48.9411111
619,SANTA TERESA,-19.988388,-40.579572
620,BALSAS,-7.45527777,-46.02749999
621,VARGINHA,-21.56638888,-45.40416666
622,ARACAJU,-10.952413,-37.05433
623,COLINAS DO TOCANTINS,-8.092708,-48.478605
624,DORES DO INDAIA,-19.48166666,-45.59388888
625,CAICO,-6.45972222,-37.08888888
626,MONTE ALEGRE DE GOIAS,-13.24805555,-46.88972221
627,ALTO PARAISO DE GOIAS,-14.13305554,-47.52305554
628,QUIXADA,-4.97888888,-39.05722222
629,PEF IPIRANGA,-2.93055554,-69.69527777
630,CURACA,-9.00138888,-39.91277777
631,NOSSA SENHORA DA GLORIA,-10.20777777,-37.43194443
632,ITATIAIA,-22.37388888,-44.70305555
633,MORADA NOVA,-5.13666666,-38.35666666
634,PRESIDENTE PRUDENTE,-22.11999999,-51.4
635,ALTA FLORESTA,-10.07722221,-56.17916666
636,FRANCA,-20.57999999,-47.37999999
637,MARIA DA FE,-22.314567,-45.373049
638,MARAU,-13.90694,-38.97222
639,MOSSORO,-4.904087,-37.366943
640,BELO HORIZONTE - CERCADINHO,-19.97999999,-43.95861111
641,CANGUCU,-31.403299,-52.700699
642,SERRINHA,-11.66444444,-39.02305554
643,GENERAL CARNEIRO,-26.398473,-51.35367
644,SANTA ISABEL DO RIO NEGRO,-0.41444444,-65.01749999
645,SAO CARLOS,-21.980353,-47.883927
646,PORTO ALEGRE,-30.05361111,-51.17472221
647,JAGUARAO,-32.53749999,-53.37638888
648,SERAFINA CORREA,-28.70472222,-51.87055554
649,ITAQUIRAI,-23.44944444,-54.18166666
650,MANHUACU,-20.263378,-42.182817
651,SANTA FE DO ARAGUAIA,-7.124191,-48.781267
652,LAGOA VERMELHA,-28.22194443,-51.51222222
653,PRESIDENTE FIGUEIREDO,-2.056558,-60.025756
654,MONTEIRO,-7.89138888,-37.11527777
655,PASSO FUNDO,-28.226805,-52.403582
656,MONTALVANIA,-14.40833333,-44.40416666
657,REGISTRO,-24.533139,-47.864139
658,ITAPORANGA,-7.318472,-38.140833
659,COSTA RICA,-18.82277777,-53.26722221
660,VITORIA,-20.271094,-40.306069
661,VENDA NOVA DO IMIGRANTE,-20.25222222,-41.18999999
662,VILA VELHA,-20.46694443,-40.40416666
663,ITUVERAVA,-20.35976,-47.77522
664,PARANAPOEMA,-22.65833333,-52.13444444
665,SANTA MARIA,-29.72499999,-53.72055554
666,GARANHUNS,-8.91083333,-36.49333333
667,BONITO,-21.24666666,-56.45055555
668,CUIABA,-15.55916666,-56.72944443
669,REMANSO,-9.62555554,-42.07722221
670,CORUMBA,-18.99666666,-57.63749999
671,AREIA,-6.97499999,-35.68499999
672,PONTA PORA,-22.5525,-55.71638888
673,CAMPO MAIOR,-4.86416666,-42.14555555
674,MINA DO PALITO,-6.31999999,-55.78777777
675,GUARAMIRANGA,-4.22916666,-38.95888888
676,CARMO,-21.938745,-42.600936
677,CHAPADA GAUCHA,-15.30027777,-45.61749999
678,MONTE VERDE,-22.861604,-46.043365
679,CATALAO,-18.15777777,-47.92638888
680,GILBUES,-9.875196,-45.345805
681,ITAPETINGA,-15.24462,-40.22955
682,BOA VISTA,2.816897,-60.690821
683,SORRISO,-12.55,-55.71666666
684,PARANATINGA,-14.421492,-54.036055
685,CAXIAS,-4.82138888,-43.3436111
686,MORRETES,-25.50888888,-48.80861111
687,RANCHARIA,-22.37249999,-50.97416666
688,ITAPIRA,-22.415062,-46.805292
689,SORRISO,-12.555107,-55.722863
690,LABREA,-7.260681,-64.788501
691,PEDRO AFONSO,-8.9686111,-48.17722221
692,ILHEUS,-14.65944444,-39.1811111
693,MONTES CLAROS,-16.686316,-43.843763
694,SAO SEBASTIAO,-23.81083333,-45.4025
695,CASTANHAL,-1.30083333,-47.94805555
696,CRISTALINA,-16.78805555,-47.61166666
697,COLOMBO,-25.32222221,-49.1575
698,PORTO SEGURO,-16.38888888,-39.18249999
699,REMANSO,-9.625693,-42.077214
700,CACADOR,-26.819156,-50.98552
701,ESPERANTINA,-3.90083333,-42.23694444
702,MATEIROS,-10.42999999,-45.91999999
703,CAMBARA DO SUL,-29.049125,-50.149636
704,APIACAS,-9.56388888,-57.3936111
705,BURITICUPU,-4.32055554,-46.44972221
706,CANGUCU,-31.40583333,-52.70111111
707,GURUPI,-11.74499999,-49.05166666
708,URUCUI,-7.47472221,-44.34472221
709,MACAE,-22.3761111,-41.81194444
710,GUARAMIRANGA,-4.261351,-38.931068
711,AGUA BOA,-14.01638888,-52.21166666
712,OURICURI,-7.88472221,-40.10111111
713,CARAVELAS,-17.73333333,-39.26666666
714,BARRETOS,-20.55888888,-48.54472221
715,PICOS,-7.0711111,-41.40416666
716,SERRA TALHADA,-7.95361111,-38.29472221
717,NOVA UBIRATA,-13.41111111,-54.75222222
718,JEREMOABO,-10.08083332,-38.34583333
719,ITAPOA,-26.08138888,-48.64166666
720,SAO MIGUEL DO ARAGUAIA,-12.81972221,-50.34166666
721,OURINHOS,-22.949,-49.894546
722,AFONSO CLAUDIO,-20.10416666,-41.10694444
723,NATAL,-5.9,-35.2
724,ITAPACI,-14.98027777,-49.53944444
725,ITUPORANGA,-27.41833332,-49.64666666
726,LAGOA DA CONFUSAO,-10.80833333,-49.84777777
727,CURACA,-9.00138888,-39.9125
728,PIRIPIRI,-4.2761111,-41.79444444
729,SANTA ROSA,-27.89305555,-54.48055554
730,CAMBARA DO SUL,-29.04916666,-50.14972221
731,QUIXERAMOBIM,-5.17444443,-39.28944444
732,ECOPORANGA,-18.29138888,-40.73638888
733,ITAPEVA,-23.98138888,-48.88527777
734,BURITIS,-15.52416666,-46.43555555
735,SOROCABA,-23.4261111,-47.58555555
736,NOVA TEBAS,-24.43388888,-51.95388888
737,SAO PEDRO DO PIAUI,-5.91111111,-42.7186111
738,ITAITUBA,-4.27694443,-55.99305555
739,EIRUNEPE,-6.65027777,-69.8686111
740,ARAXA,-19.605696,-46.949617
741,FATIMA DO SUL,-22.308694,-54.325833
742,RIO GRANDE,-32.03333333,-52.1
743,PIRAPORA,-17.258064,-44.835556
744,SANTA MARIA,-29.70833333,-53.70361111
745,IGUAPE,-24.671654,-47.545896
746,CURITIBA,-25.43333333,-49.26666666
747,IVINHEMA,-22.30666666,-53.82722221
748,PIRACICABA,-22.703132,-47.623317
749,RIO DE JANEIRO - JACAREPAGUA,-22.93972221,-43.40277777
750,Paty do Alferes - Avelar,-22.34722221,-43.41777777
751,ITUIUTABA,-18.95277777,-49.52499999
752,ALTA FLORESTA,-9.84944444,-56.1
753,MARAU,-13.90694444,-38.97222221
754,CAMPOS SALES,-7.07777777,-40.36277777
755,IMPERATRIZ,-5.55555555,-47.45972222
756,RANCHO QUEIMADO,-27.6786111,-49.04194444
757,EIRUNEPE,-6.650301,-69.86861
758,ACARAU,-3.1211111,-40.08722221
759,AGUAS EMENDADAS,-15.596491,-47.625801
760,DOM PEDRITO,-31.002528,-54.618139
761,INACIO MARTINS,-25.567879,-51.077946
762,MEDICILANDIA,-3.510943,-52.96345
763,IBIRITE (ROLA MOCA),-20.03138888,-44.01111111
764,BRAGANCA PAULISTA,-23.95194444,-46.53055554
765,NOVA VENECIA,-18.695265,-40.390572
766,SORRISO,-12.555,-55.72277777
767,IBIMIRIM,-8.50944444,-37.71138888
768,FEIRA DE SANTANA,-12.1961111,-38.96749999
769,SONORA,-17.89638888,-54.45361111
770,URUCUI,-7.44142,-44.345055
771,ITAPIPOCA,-3.484298,-39.588715
772,QUIXERAMOBIM,-5.174568,-39.289393
773,RIO CLARO,-22.653579,-44.040916
774,DOM ELISEU,-4.280556,-47.563972
775,BANDEIRANTES,-19.94555555,-54.3686111
776,IPORA,-16.42305554,-51.14805555
777,PRESIDENTE FIGUEIREDO,-2.08499999,-60.04888888
778,CHAPECO,-27.95527777,-52.63555555
779,JOAO PESSOA,-7.16527777,-34.81555555
780,MOSSORO,-4.90388888,-37.36694443
781,PORTO ESTRELA,-15.32472221,-57.22583332
782,MANTENA,-18.78062,-40.986505
783,TIANGUA,-3.73222221,-41.01194444
784,GUANHAES,-18.78666666,-42.94305555
785,MACHADO,-21.680722,-45.944389
786,ARAGUAINA,-7.10416666,-48.20111111
787,COXIM,-18.51222222,-54.7361111
788,ALFREDO CHAVES,-20.63638888,-40.74194444
789,EDEIA,-17.33694444,-49.91472222
790,ARAGUAINA,-7.10388888,-48.20111111
791,URUSSANGA,-28.53249999,-49.31555555
792,BREJO GRANDE,-10.47944443,-36.48194443
793,ACARAU,-3.12083332,-40.08694444
794,PASSOS,-20.74499999,-46.63388888
795,ARAGUACU,-12.592213,-49.528738
796,S. G. DA CACHOEIRA,-0.125207,-67.061246
797,CACHOEIRA PAULISTA,-22.68888888,-45.00555555
798,BANDEIRANTES,-19.945539,-54.368533
799,QUERENCIA,-12.5986111,-52.19444444
800,PARNAIBA,-3.08638888,-41.78333333
801,SERAFINA CORREA,-28.704806,-51.870751
802,ARAPIRACA,-9.80444444,-36.61916666
803,DIVINOPOLIS,-20.17333332,-44.87499999
804,BRASILIA,-15.789343,-47.925756
805,LUZIANIA,-16.27222221,-47.96638888
806,VILA VELHA,-20.467069,-40.404051
807,APODI,-5.626559,-37.814991
808,XINGUARA,-7.11055555,-49.9261111
809,RONDONOPOLIS,-16.4625,-54.58027777
810,ARCO VERDE,-8.4336111,-37.05555555
811,MURIAE,-21.105,-42.37583332
812,MACAUBAS,-13.03888888,-42.61722221
813,TUCUMA,-6.743208,-51.141899
814,QUEIMADAS,-10.984645,-39.617009
815,POCO VERDE,-10.73749999,-38.10777777
816,RIO BRANCO,-9.95777777,-68.165
817,SALTO DO CEU,-15.12472221,-58.12722221
818,BATAGUASSU,-21.75138888,-52.47055554
819,ITAPORA,-22.09277777,-54.79888888
820,DRACENA,-21.45777777,-51.55222222
821,PORTO ALEGRE - JARDIM BOTANICO,-30.05361111,-51.17472221
822,CRMN MANAUS,-3.02249999,-60.05555555
823,ITABAIANINHA,-11.27249999,-37.79472221
824,FREDERICO WESTPHALEN,-27.395686,-53.429421
825,TAUBATE,-23.04194444,-45.52027777
826,CAMPO VERDE,-15.531431,-55.135649
827,TORRES,-29.35027777,-49.73333333
828,SANTA ROSA DO TOCANTINS,-11.04638888,-48.18555555
829,BARRETOS,-20.55916666,-48.54499999
830,BARRA BONITA,-22.4711111,-48.5575
831,BARRA DO TURVO,-24.96277777,-48.41638888
832,PALMARES,-8.66666666,-35.56805554
833,ALTO PARAISO DE GOIAS,-14.13305554,-47.52333332
834,CAMPO BOM,-29.67444443,-51.06416666
835,DTCEA GUAJARA-MIRIM,-10.78999999,-65.33277777
836,SAO CARLOS,-21.97972221,-47.88333333
837,CANTO DO BURITI,-8.11777777,-42.00888888
838,GOIANIA,-16.64277777,-49.22027777
839,SANTA FE DO ARAGUAIA,-7.12416666,-48.78138888
840,NOVA FRIBURGO - SALINAS,-22.33472221,-42.67694443
841,DIONISIO CERQUEIRA,-26.28638888,-53.63277777
842,PASSO FUNDO,-28.22944443,-52.40388888
843,CARIRA,-10.399719,-37.747503
844,SAO JOAQUIM,-28.27555554,-49.93472221
845,BRASILANDIA,-21.298278,-52.068917
846,LAGOA VERMELHA,-28.222381,-51.512845
847,S.J. DO RIO CLARO,-13.45388888,-56.67722221
848,OBIDOS,-5.36583333,-49.12527777
849,VALENCA,-13.3436111,-39.12666666
850,SAO FELIX DO XINGU,-6.63972221,-51.95694444
851,IBIMIRIM,-8.50944444,-37.71166666
852,QUERENCIA,-12.60305555,-52.1625
853,CAMPO BOM,-29.674293,-51.064042
854,DOM PEDRITO,-31.0025,-54.61805554
855,PASSA QUATRO,-22.39583333,-44.96194444
856,BERTIOGA,-23.84472221,-46.14333333
857,FEIJO,-8.14277777,-70.3436111
858,RANCHARIA,-22.37277777,-50.97472221
859,PARAUNA,-16.962536,-50.42545
860,MOCAMBINHO,-15.085958,-44.016036
861,RIO URUBU,-2.633654,-59.600582
862,CURITIBANOS,-27.2886111,-50.60416666
863,JANUARIA,-15.44805555,-44.36638888
864,PATOS DE MINAS,-18.520667,-46.440611
865,PONTA PORA,-22.552448,-55.716317
866,FORMIGA,-20.455,-45.45388888
867,PARAGOMINAS,-3.01027777,-47.34305555
868,IBOTIRAMA,-12.19306,-43.21342
869,ALEGRE,-20.75055555,-41.48888888
870,RANCHARIA,-22.372832,-50.97471
871,QUERENCIA,-12.627315,-52.220891
872,PORTO VELHO,-8.76388888,-63.47499999
873,IPORA,-16.42305554,-51.14888888
874,ALTAMIRA,-3.27027777,-52.39472221
875,PALMEIRA DAS MISSOES,-27.920379,-53.318049
876,FAROL de SANTANA,-2.270811,-43.624043
877,FLORESTA,-8.5936111,-38.58388888
878,PACAJA,-3.8436111,-50.63805555
879,PRESIDENTE PRUDENTE,-22.119867,-51.408637
880,SAO BORJA,-28.64944444,-56.01555555
881,TAUA,-6.01749999,-40.28138888
882,GUANAMBI,-14.20805555,-42.74972221
883,TRES RIOS,-22.09833333,-43.20833333
884,FREDERICO WESTPHALEN,-27.39555555,-53.41277777
885,PASSA QUATRO,-22.3961111,-44.96166666
886,PORTO DE MOZ,-1.82194443,-52.11166666
887,SAO RAIMUNDO NONATO,-9.03305554,-42.70055555
888,SERAFINA CORREA,-28.70472222,-51.87083332
889,ARAGARCAS,-15.90277777,-52.24527777
890,ILHEUS,-14.65888888,-39.18138888
891,ARACUAI,-16.84888888,-45.03527777
892,SAO LUIS DO PARAITINGA,-23.22833332,-45.41694443
893,CAPELINHA,-17.70555555,-42.38916666
894,SALGUEIRO,-8.05805555,-39.0961111
895,SERRA DOS AIMORES,-17.79888888,-40.25
896,CACERES,-16.07472221,-57.69305555
897,ESPINOSA,-14.912284,-42.808473
898,CAMPINA GRANDE,-7.24249999,-35.88888888
899,BRUMADO,-14.18194443,-41.67222221
900,TRES MARIAS,-18.200855,-45.459836
901,SAO ROMAO,-16.3625,-45.12388888
902,ARCO VERDE,-8.433544,-37.055477
903,CRUZ DAS ALMAS,-12.675422,-39.08958
904,CANELA,-29.36888888,-50.82722221
905,BEBDOURO,-20.94916666,-48.48972221
906,SANTA CRUZ,-6.22777777,-36.02638888
907,BARRA,-11.08472221,-43.13888888
908,ALTO PARNAIBA,-9.10833333,-45.93194443
909,QUIXERAMOBIM,-5.17305554,-39.28722221
910,CORRENTINA,-13.33222221,-44.61722221
911,CAMETA,-2.239653,-49.499827
912,RIO DE JANEIRO - JACAREPAGUA,-22.939883,-43.402897
913,CAMBUCI,-21.58749999,-41.95833333
914,BEBEDOURO,-20.94805555,-48.47138888
915,PIATA,-13.155681,-41.774125
916,CONCEICAO DAS ALAGOAS,-19.98583333,-48.15138888
917,GOIOERE,-24.18388888,-53.04888888
918,SANTANA DO LIVRAMENTO,-30.75055555,-55.40138888
919,GUANHAES,-18.786842,-42.942921
920,PATOS DE MINAS,-18.52055554,-46.44055555
921,VACARIA,-28.513602,-50.882738
922,ITATIAIA,-22.373944,-44.703111
923,NOVA FATIMA,-23.40694444,-50.57777777
924,COXIM,-18.51222222,-54.73583333
925,BARCELOS,-0.98722221,-62.92416666
926,ITUMBIARA,-18.409761,-49.192061
927,IRECE,-11.328998,-41.864504
928,SILVANIA,-16.67972221,-48.61805554
929,SERRINHA,-11.664586,-39.022946
930,BOM JESUS DO PIAUI,-9.08333333,-44.32638888
931,GUARAMIRANGA,-4.26111111,-38.19749999
932,SILVANIA,-16.67694443,-48.61805554
933,UNA,-15.280215,-39.09127
934,PORTO GRANDE,0.69444444,-51.40416666
935,SENHOR DO BONFIM,-10.443072,-40.148244
936,PATROCINIO,-18.996684,-46.985935
937,PRESIDENTE PRUDENTE,-22.11999999,-51.40861111
938,CACAPAVA DO SUL,-30.545317,-53.46705
939,TORRES,-29.35027777,-49.73305554
940,ECOPORANGA,-18.29166666,-40.73638888
941,IGUATEMI,-23.64444444,-54.57027777
942,RIO DE JANEIRO - FORTE DE COPACABANA,-22.98833333,-43.19055555
943,CRATEUS,-5.18666666,-40.67222221
944,SERRA DOS AIMORES,-17.798799,-40.249933
945,MARIANOPOLIS DO TO,-9.57666666,-49.72333332
946,ITACOATIARA,-3.13333333,-58.48277777
947,PILAO ARCADO,-10.00222222,-42.47333332
948,BEBDOURO,-20.94916666,-48.48999999
949,BOM JESUS DO PIAUI,-9.08333333,-44.31666666
950,GAUCHA DO NORTE,-13.18472221,-53.2575
951,PETROLINA,-9.388323,-40.523262
952,MANAUS,-3.10333333,-60.01638888
953,JUIZ DE FORA,-21.769965,-43.364329
954,CAXIAS,-4.821352,-43.343659
955,CONDE,-11.8,-37.59972221
956,COMODORO,-13.70861111,-59.76277777
957,NATAL,-5.83722221,-35.20805555
958,COARI,-4.09749999,-63.14527777
959,SANTAREM,-2.5025,-54.72027777
960,CARATINGA,-19.73583333,-42.15361111
961,IVAI,-25.010757,-50.853853
962,ITAPEVA,-23.981918,-48.885818
963,BARRA DO TURVO,-24.96305555,-48.41638888
964,SINOP,-11.98222221,-55.56583333
965,PEF ESTIRAO DO EQUADOR,-4.52999999,-71.61749999
966,URUGUAIANA,-29.83999999,-57.08194443
967,ABROLHOS,-17.96416666,-38.6961111
968,LINS,-21.66611111,-49.73472221
969,MACHADO,-21.68083332,-45.94444444
970,PAO DE ACUCAR,-9.74916666,-37.43083332
971,GRAJAU,-5.816085,-46.1622
972,PAMPULHA,-19.88416666,-43.96944443
973,ITAPACI,-14.97972221,-49.53944444
974,REGISTRO,-24.53305554,-47.86416666
975,CAICO,-6.46749999,-37.08499999
976,VILHENA,-12.73472221,-60.15777777
977,CURITIBA,-25.448688,-49.230602
978,UBERLANDIA,-18.917072,-48.255657
979,URUGUAIANA,-29.83987,-57.081899
980,SAO PAULO - INTERLAGOS,-23.724501,-46.677501
981,LINS,-21.66527777,-49.73416666
982,ARQ.SAO PEDRO E SAO PAULO,0.916877,-29.345904
983,SAO MATEUS,-18.71388888,-39.84833333
984,JARDIM,-21.47833332,-56.13694444
985,FORTALEZA,-3.83222221,-38.53777777
986,RECIFE,-8.05916666,-34.95916666
987,RIO DE JANEIRO-MARAMBAIA,-23.05027777,-43.59555555
988,LUIZ EDUARDO MAGALHAES,-12.1525,-45.82972221
989,DOM ELISEU,-4.28055554,-47.56388888
990,PICO DO COUTO,-22.48166666,-43.29138888
991,CABROBO,-8.504,-39.31528
992,CAROLINA,-7.337269,-47.459839
993,CHAPADINHA,-3.74277777,-43.35194444
994,MARECHAL THAUMATURGO,-8.95,-72.78666666
995,CRUZ ALTA,-28.60361111,-53.6736111
996,SAO MATEUS DO SUL,-25.83555555,-50.36888888
997,COTRIGUACU,-9.906296,-58.572235
998,PRES. KENNEDY,-21.10111111,-41.03888888
999,EUCLIDES DA CUNHA,-10.53722221,-38.99666666
1000,SILVA JARDIM,-22.64583333,-42.41583333
1001,CASSILANDIA,-19.12249999,-51.72083332
1002,PICOS,-7.07083332,-41.40416666
1003,BRAZLANDIA,-15.59972221,-48.1311111
1004,GUANAMBI,-14.2081235,-42.749647
1005,SAO TOME,-22.04166666,-41.05194444
1006,SAO SEBASTIAO DO PARAISO,-20.91,-47.11416666
1007,PALMEIRA DAS MISSOES,-27.92027777,-53.31805554
1008,CURITIBANOS,-27.288624,-50.604283
1009,CRIOSFERA,-84.0,-79.49416666
1010,JANAUBA,-15.80277777,-43.29694444
1011,GOIAS,-15.93972221,-50.14138888
1012,BRUMADO,-14.18166666,-41.67222221
1013,CASA BRANCA,-21.78055554,-47.07527777
1014,IMPERATRIZ,-5.55583333,-47.45972222
1015,TIMOTEO,-19.57388888,-42.62249999
1016,SANTA RITA DO PARDO,-21.305889,-52.820375
1017,ICARAIMA,-23.39027777,-53.63472221
1018,BALIZA,0.94777777,-59.74638888
1019,ARQ.SAO PEDRO E SAO PAULO,0.9,-29.31666666
1020,CAMPOS LINDOS,-8.15472222,-46.63916666
1021,ARACUAI,-16.84888888,-42.03527777
1022,GOIANESIA,-15.22027777,-48.99027777
1023,MONTE ALEGRE,-2.0,-54.07638888
1024,JUINA,-11.37499999,-58.77472221
1025,BELO HORIZONTE - CERCADINHO,-19.980034,-43.958651
1026,JATAI,-17.92388888,-51.71777777
1027,PARANAIBA,-19.695517,-51.181769
1028,BACABAL,-4.24305555,-44.79499999
1029,CAMPOS SALES,-7.07773,-40.362678
1030,PALMAS,-10.19083333,-48.30194444
1031,POSSE,-14.08921,-46.366497
1032,MARACAJU,-21.60916666,-55.17749999
1033,XANXERE,-26.938666,-52.39809
1034,GARANHUNS,-8.91095,-36.493381
1035,NOVA PORTEIRINHA (JANAUBA),-15.80277777,-43.29694444
1036,CAPELINHA,-17.705504,-42.389256
1037,TUPA,-21.927251,-50.490251
1038,APUI,-7.20555555,-59.8886111
1039,PARATY,-23.2236111,-44.72694443
1040,VOTUPORANGA,-20.403221,-49.966031
1041,NOVA ALVORADA DO SUL,-21.45111111,-54.34194444
1042,CLEVELANDIA,-26.41722221,-52.34888888
1043,EPITACIOLANDIA,-11.023752,-68.73518
1044,ARACAJU,-10.95027777,-37.05
1045,PEDRO GOMES,-18.07277777,-54.54888888
1046,CAMAPUA,-19.587528,-54.030083
1047,BEBEDOURO,-20.94916666,-48.48999999
1048,PIRACICABA,-22.70277777,-47.62305554
1049,MACEIO,-9.551168,-35.770195
1050,JUINA,-11.36694443,-58.73305554
1051,PORTO VELHO,-8.793662,-63.845931
1052,GRAJAU,-5.82472221,-46.15944444
1053,CASTRO,-24.77999999,-50.04638888
1054,MARIANOPOLIS DO TO,-9.576389,-49.723333
1055,RIO BRILHANTE,-21.77499999,-54.52805554
1056,CARACOL,-9.28583333,-43.32444443
1057,CAMARATUBA,-6.56083333,-35.13472221
1058,UAUA,-9.8336111,-39.49555555
1059,CARACOL,-9.2861111,-43.32444443
1060,RIO URUBU,-2.6336111,-59.60055555
1061,ITAOBIM,-16.575667,-41.485588
1062,REMANSO,-9.60277777,-42.10277777
1063,MARILIA,-22.23527777,-49.965
1064,PIRANHAS,-9.62222221,-37.76722221
1065,ITAPOA,-26.0811111,-48.64166666
1066,PARACATU,-17.24444444,-46.88166666
1067,CORURIPE,-10.14527777,-36.28638888
1068,MAUES,-3.39888888,-57.67388888
1069,NOVO HORIZONTE,-26.40694444,-52.85055555
1070,BRAGANCA PAULISTA,-22.95194444,-46.53055554
1071,TIMOTEO,-19.5736111,-42.62222221
1072,SANTAREM,-2.502572,-54.720279
1073,FEIRA DE SANTANA,-12.19583333,-38.96722221
1074,MONTES CLAROS,-16.71666666,-43.86666666
1075,BOM JARDIM DA SERRA - MORRO DA IGREJA,-28.126992,-49.47961
1076,SALINOPOLIS,-0.6186111,-47.35666666
1077,FORMIGA,-20.45472222,-45.45388888
1078,VENTANIA,-24.280394,-50.21015
1079,BENTO GONCALVES,-29.16722221,-51.53472221
1080,CAIAPONIA,-16.96694443,-51.81749999
1081,CAMPO GRANDE,-20.45,-54.6
1082,SOURE,-0.81111111,-48.51583333
1083,JACOBINA,-11.205,-40.465
1084,BARBACENA,-21.22833332,-43.76777777
1085,ITAQUIRAI,-23.449501,-54.181858
1086,MANAUS,-3.10361111,-60.01555555
1087,SILVANIA,-16.679786,-48.618171
1088,PARATI,-23.22354,-44.726863
1089,BERTIOGA,-23.844678,-46.143376
1090,ESPINOSA,-14.91222222,-42.80861111
1091,CARATINGA,-19.73583333,-42.13722221
1092,MOSTARDAS,-31.24777777,-50.90555555
1093,GUANAMBI,-14.20805555,-42.74944444
1094,PREGUICAS,-2.59249999,-42.70722222
1095,CAPAO DO LEAO (PELOTAS),-31.8025,-52.40722222
1096,GOIAS,-15.939729,-50.141433
1097,RIBAS DO RIO PARDO,-20.466694,-53.763028
1098,VENDA NOVA DO IMIGRANTE,-20.38555555,-41.18999999
1099,CARIRA,-10.39944444,-37.74722221
1100,OURO BRANCO,-20.55666666,-43.75611111
1101,ITAJAI,-26.950924,-48.762031
1102,JOAQUIM TAVORA,-23.50527777,-49.94638888
1103,ALTO TAQUARI,-17.8411111,-53.28944444
1104,GOIANIA,-16.642841,-49.220222
1105,SAO SEBASTIAO DO PARAISO,-20.909892,-47.114259
1106,SANTA CRUZ,-6.227922,-36.026587
1107,SALVADOR (RADIO FAROL),-12.80833333,-38.49583333
1108,PARANAPOEMA,-22.658273,-52.134526
1109,SERRA NOVA DOURADA,-11.98777777,-51.4261111
1110,DTCEA TABATINGA,-4.25055555,-69.93499999
1111,GUARAMIRANGA,-4.26138888,-38.9311111
1112,GOIOERE,-24.15833333,-53.03055554
